Date,y_true,Arima,LSTM,ANN,SVR,Arima + LSTM,Arima + ANN,Arima + SVR,return,Arima_return,LSTM_return,ANN_return,SVR_return,Arima + LSTM_return,Arima + ANN_return,Arima + SVR_return
4/1/2019,147.7799988,144.7100067,144.8473398,145.4058709,144.6032518,147.9844251,146.1653595,144.427112,3.069992065,0.940002441,0.504206214,2.010013565,1.636076707,4.223081023,1.343851328,1.226354964
4/8/2019,148.6799927,144.7100067,146.5400688,147.8499382,145.9441629,148.4443376,146.6137264,147.5991569,0.899993896,0,1.692728968,2.44406734,1.340911074,0.459912539,0.44836688,3.172044875
4/15/2019,148.2700043,144.7100067,147.7070605,148.5561056,147.2058346,148.0546331,144.8148297,147.6878847,-0.409988403,0,1.166991671,0.70616739,1.261671673,-0.389704466,-1.79889667,0.08872776
4/22/2019,150.1600037,144.7100067,148.0957683,148.2884463,147.4346841,145.5440088,143.7098104,146.5009731,1.88999939,0,0.388707809,-0.267659319,0.228849548,-2.510624349,-1.105019331,-1.186911514
4/29/2019,150.6300049,144.7100067,149.3125394,150.5066775,147.97943,150.8082647,146.7022772,146.9440913,0.470001221,0,1.216771067,2.218231213,0.544745916,5.264255941,2.992466807,0.443118145
5/6/2019,147.5299988,150.6300049,149.9482645,151.0524406,148.138408,151.5202317,153.7485282,151.6784847,-3.100006104,5.919998169,0.635725146,0.545763052,0.158978002,0.711966932,7.046251059,4.734393414
5/13/2019,146.2400055,150.6300049,148.8277831,148.4586327,146.6125965,148.8111448,148.5618701,148.8750952,-1.289993286,0,-1.120481421,-2.593807862,-1.525811551,-2.709086835,-5.186658144,-2.803389454
5/20/2019,144.5800018,150.6300049,147.5585407,147.9296312,144.9939109,145.5543795,146.3133569,149.6670629,-1.660003662,0,-1.269242334,-0.529001486,-1.618685526,-3.256765366,-2.248513222,0.791967654
5/27/2019,140.6900024,150.6300049,146.1347819,145.539003,143.1877231,142.660955,139.4868908,145.946821,-3.88999939,0,-1.423758874,-2.390628205,-1.806187841,-2.893424511,-6.826466084,-3.720241882
6/3/2019,146.7899933,150.6300049,142.7723706,142.0916303,142.7260887,145.3073421,142.1414785,143.616046,6.099990845,0,-3.362411314,-3.447372714,-0.461634432,2.6463871,2.654587746,-2.330775059
6/10/2019,147.6300049,146.7899933,144.6330225,147.0423528,144.4298278,144.2066197,142.5724154,140.3280415,0.840011597,-3.840011597,1.860651961,4.95072251,1.70373909,-1.100722313,0.430936813,-3.288004415
6/17/2019,150.6999969,146.7899933,146.1152191,146.7683018,145.9089943,149.1058145,152.3487339,145.4331521,3.069992065,0,1.482196604,-0.274050986,1.479166567,4.899194717,9.77631855,5.105110515
6/24/2019,150.0899963,146.7899933,148.1885616,150.6905042,148.1349062,147.0535516,150.847373,146.8599254,-0.61000061,0,2.07334249,3.922202342,2.225911841,-2.052262843,-1.501360893,1.426773303
7/1/2019,152.5500031,146.7899933,148.858805,150.0881972,148.2926862,149.3183203,153.1034727,147.9008568,2.460006714,0,0.670243342,-0.602306947,0.157780057,2.26476866,2.256099701,1.040931397
7/8/2019,153.6100006,146.7899933,151.4640294,153.8243251,150.0583739,155.2184649,155.070466,149.6372157,1.059997559,0,2.605224412,3.736127845,1.765687715,5.900144577,1.966993332,1.736358956
7/15/2019,151.8000031,153.6100006,152.5556502,154.2459929,151.0299545,154.3448732,156.4684396,153.7122805,-1.809997559,6.820007324,1.091620824,0.421667851,0.9715806,-0.873591602,1.397973537,4.075064835
7/22/2019,154.4100037,153.6100006,152.1674481,153.2845563,150.7708099,152.00079,153.0639317,149.8399562,2.61000061,0,-0.38820211,-0.961436646,-0.259144687,-2.34408325,-3.404507875,-3.872324391
7/29/2019,149.5800018,153.6100006,153.1450954,155.6629186,151.6117839,150.7703617,153.2004731,154.302007,-4.830001831,0,0.977647293,2.378362332,0.840974066,-1.230428338,0.136541367,4.462050826
8/5/2019,148.9199982,153.6100006,151.3039673,150.7357674,149.778923,150.6713319,151.2384255,150.4783284,-0.660003662,0,-1.841128113,-4.927151169,-1.832860889,-0.099029779,-1.962047577,-3.823678557
